1 ,'The realtor shall be able to retrieve a map showing property locations for a specified area',F
2 ,'The system shall refresh the display every 60 seconds.',PE
3 ,'The top 1/4 of the table will hold events that are to occur sequentially.',F
4 ,'The application shall match the color of the schema set forth by Department of Homeland Security',LF
5 ,'The system shall notify the realtor when a seller or buyer responds to an appointment request',F
6 ,'If projected  the data must be readable.  On a 10x10 projection screen  90% of viewers must be able to read Event / Activity data from a viewing distance of 30',US
7 ,'The product shall be available during normal business hours. As long as the user has access to the client PC  the system will be available 99% of the time during the first six months of operation.',A
8 ,'If projected  the data must be understandable. On a 10x10 projection screen  90% of viewers must be able to determine that Events or Activities are occuring in current time from a viewing distance of 100',US
9 ,'The product shall allow the user to save the property search results.',F
10,'The product shall respond fast to keep up-to-date data in the display.',PE
11,'The product shall be installed by an untrained realtor without recourse to separately-printed instructions.',US
12,'The realtor shall be notified of new client appointments after automatic synchronization with office system',F
13,'The table side of the display shall be split into 2 regions: sequential and temporal.',F
14,'90% of untrained realtors shall be able to install the product on their device without printed instructions',US
15,'The product is expected to run on Windows CE and Palm operating systems.',PO
16,'Only registered realtors shall be able to access the system.',SE
17,'Every user of the system shall be authenticated and authorized.',SE
18,'Out of 1000 accesses to the system the system is available 999 times.',A
19,'The product shall be intuitive and self-explanatory. 90% of new users shall be able to start the display of Events or Activities within 90 minutes of using the product.',US
20,'The system shall have a MDI form that allows for the viewing of the graph and the data table.',F
21,'The product shall prevent its data from incorrect data being introduced.',SE
22,'The system shall display Events in a vertical table by time.',F
23,'The system shall display the Events in a graph by time.',F
24,'The system shall display Events or Activities.',F
25,'The display shall have two regions:  left 2/3 of the display is graphical  right 1/3 of the display is a data table',F
26,'The data displayed in both the nodes within the graph and the rows in the table are MSEL Summary data',F
27,'The product shall ensure that it can only be accessed by authorized users.  The product will be able to distinguish between authorized and unauthorized users in all access attempts',SE
28,'The system shall display clear property images in the search results',F
29,'The system shall update or create new property listings in the MLS',F
30,'Realtor shall be able to generate a CMA report based on property criteria',F
31,'The system shall be able to call the seller or buyer to schedule an appointment',F
32,'The product shall operate in offline mode whenever internet connection is unavailable.',FT
